"","gene","doid"
"298","HGNC:12663","DOID:13949"
"299","HGNC:12680","DOID:3083"
"300","HGNC:11892","DOID:1485"
"301","HGNC:11916","DOID:10652"
"302","HGNC:11916","DOID:10652"
"303","HGNC:17760","DOID:5844"
"304","HGNC:12791","DOID:397"
"305","HGNC:12261","DOID:12930"
"306","HGNC:18081","DOID:11054"
"307","HGNC:11949","DOID:5844"
"308","HGNC:11896","DOID:8577"
"309","HGNC:11892","DOID:10923"
"310","HGNC:11892","DOID:8515"
"311","HGNC:11917","DOID:2986"
"312","HGNC:11998","DOID:9119"
"313","HGNC:11914","DOID:321"
"314","HGNC:11914","DOID:321"
"315","HGNC:12680","DOID:0050185"
"316","HGNC:11909","DOID:3312"
"317","HGNC:12403","DOID:3393"
"318","HGNC:777","DOID:3459"
"319","HGNC:11892","DOID:8677"
"320","HGNC:11998","DOID:4971"
"321","HGNC:20456","DOID:684"
"322","HGNC:12680","DOID:8577"
"323","HGNC:12003","DOID:10283"
"324","HGNC:12680","DOID:9007"
"325","HGNC:12680","DOID:8717"
"326","HGNC:11892","DOID:12297"
"327","HGNC:20692","DOID:3312"
"328","HGNC:12693","DOID:14330"
"329","HGNC:12636","DOID:8947"
"330","HGNC:11916","DOID:0080745"
"331","HGNC:11892","DOID:13636"
"332","HGNC:11892","DOID:13636"
"333","HGNC:12836","DOID:1967"
"334","HGNC:19964","DOID:5082"
"335","HGNC:12796","DOID:1612"
"336","HGNC:12636","DOID:0050700"
"337","HGNC:11916","DOID:557"
"338","HGNC:11892","DOID:0050685"
"339","HGNC:3148","DOID:11054"
"340","HGNC:11989","DOID:2154"
"341","HGNC:11989","DOID:2154"
"342","HGNC:11916","DOID:9074"
"343","HGNC:12680","DOID:9352"
"344","HGNC:12363","DOID:10652"
"345","HGNC:17761","DOID:4166"
"346","HGNC:12682","DOID:3113"
"347","HGNC:12680","DOID:7736"
"348","HGNC:18081","DOID:2154"
"349","HGNC:12680","DOID:1909"
"350","HGNC:11917","DOID:0080745"
"351","HGNC:31454","DOID:12336"
"352","HGNC:5318","DOID:3798"
"353","HGNC:11917","DOID:783"
"354","HGNC:12682","DOID:4450"
"355","HGNC:12680","DOID:12236"
"356","HGNC:12780","DOID:1612"
"357","HGNC:3148","DOID:0060074"
"358","HGNC:11892","DOID:13378"
"359","HGNC:11892","DOID:3492"
"360","HGNC:11916","DOID:1380"
"361","HGNC:11916","DOID:3393"
"362","HGNC:11916","DOID:1520"
"363","HGNC:12726","DOID:5419"
"364","HGNC:12663","DOID:1793"
"365","HGNC:11939","DOID:9119"
"366","HGNC:12669","DOID:0080855"
"367","HGNC:12833","DOID:2513"
"368","HGNC:11909","DOID:1184"
"369","HGNC:12726","DOID:0060573"
"370","HGNC:12663","DOID:9743"
"371","HGNC:592","DOID:8991"
"372","HGNC:11916","DOID:11394"
"373","HGNC:11916","DOID:0050860"
"374","HGNC:11892","DOID:13141"
"375","HGNC:11892","DOID:13141"
"376","HGNC:12485","DOID:2394"
"377","HGNC:11892","DOID:2986"
"378","HGNC:11892","DOID:2048"
"379","HGNC:592","DOID:1612"
"380","HGNC:12726","DOID:13809"
"381","HGNC:11917","DOID:3021"
"382","HGNC:11917","DOID:3021"
"383","HGNC:25522","DOID:684"
"384","HGNC:12682","DOID:3008"
"385","HGNC:12363","DOID:13515"
"386","HGNC:12682","DOID:0002116"
"387","HGNC:12680","DOID:5082"
"388","HGNC:12680","DOID:5082"
"389","HGNC:11917","DOID:9074"
"390","HGNC:12693","DOID:7147"
"391","HGNC:12694","DOID:8778"
"392","HGNC:4055","DOID:2513"
"393","HGNC:12517","DOID:10652"
"394","HGNC:12680","DOID:0060643"
"395","HGNC:12680","DOID:3087"
"396","HGNC:11892","DOID:5082"
"397","HGNC:12726","DOID:418"
"398","HGNC:12337","DOID:0110429"
"399","HGNC:17760","DOID:526"
"400","HGNC:12692","DOID:12140"
"401","HGNC:3148","DOID:4608"
"402","HGNC:28981","DOID:1612"
"403","HGNC:12679","DOID:2513"
"404","HGNC:30743","DOID:10459"
"405","HGNC:12680","DOID:869"
"406","HGNC:12680","DOID:332"
"407","HGNC:12663","DOID:2921"
"408","HGNC:12780","DOID:10283"
"409","HGNC:12663","DOID:12918"
"410","HGNC:3148","DOID:3744"
"411","HGNC:11916","DOID:3021"
"412","HGNC:11916","DOID:3021"
"413","HGNC:11916","DOID:783"
"414","HGNC:11892","DOID:2355"
"415","HGNC:11892","DOID:2355"
"416","HGNC:11892","DOID:2377"
"417","HGNC:12692","DOID:3393"
"418","HGNC:15979","DOID:11054"
"419","HGNC:11998","DOID:0050861"
"420","HGNC:20766","DOID:14250"
"421","HGNC:11916","DOID:2355"
"422","HGNC:11909","DOID:5419"
"423","HGNC:11892","DOID:12306"
"424","HGNC:12680","DOID:8506"
"425","HGNC:11999","DOID:6432"
"426","HGNC:11909","DOID:1712"
"427","HGNC:12679","DOID:9446"
"428","HGNC:12833","DOID:1749"
"429","HGNC:15971","DOID:2394"
"430","HGNC:12682","DOID:684"
"431","HGNC:12362","DOID:4852"
"432","HGNC:11892","DOID:2755"
"433","HGNC:12518","DOID:12858"
"434","HGNC:11989","DOID:10283"
"435","HGNC:11876","DOID:2526"
"436","HGNC:11917","DOID:0050157"
"437","HGNC:17760","DOID:12365"
"438","HGNC:11998","DOID:4450"
"439","HGNC:17760","DOID:1883"
"440","HGNC:12363","DOID:1612"
"441","HGNC:12014","DOID:0050589"
"442","HGNC:11914","DOID:11168"
"443","HGNC:12679","DOID:1612"
"444","HGNC:11898","DOID:4251"
"445","HGNC:11998","DOID:2871"
"446","HGNC:12680","DOID:9810"
"447","HGNC:11916","DOID:2986"
"448","HGNC:3148","DOID:4440"
"449","HGNC:11628","DOID:4440"
"450","HGNC:12796","DOID:0050933"
"451","HGNC:12680","DOID:8991"
"452","HGNC:11934","DOID:3744"
"453","HGNC:12694","DOID:8577"
"454","HGNC:12726","DOID:10159"
"455","HGNC:11989","DOID:11054"
"456","HGNC:17760","DOID:9470"
"457","HGNC:12778","DOID:1612"
"458","HGNC:11892","DOID:9074"
"459","HGNC:11909","DOID:9352"
"460","HGNC:12636","DOID:6000"
"461","HGNC:12636","DOID:6000"
"462","HGNC:12663","DOID:3407"
"463","HGNC:18081","DOID:10283"
"464","HGNC:11998","DOID:9256"
"465","HGNC:11909","DOID:341"
"466","HGNC:11896","DOID:3748"
"467","HGNC:12636","DOID:9352"
"468","HGNC:11892","DOID:850"
"469","HGNC:12726","DOID:3312"
"470","HGNC:11916","DOID:0080162"
"471","HGNC:11892","DOID:13088"
"472","HGNC:11916","DOID:841"
"473","HGNC:12680","DOID:0050589"
"474","HGNC:17675","DOID:2671"
"475","HGNC:12363","DOID:127"
"476","HGNC:23787","DOID:1312"
"477","HGNC:12003","DOID:11132"
"478","HGNC:5318","DOID:106"
"479","HGNC:12680","DOID:14256"
"480","HGNC:12726","DOID:4450"
"481","HGNC:12435","DOID:820"
"482","HGNC:12362","DOID:1612"
"483","HGNC:592","DOID:4450"
"484","HGNC:12726","DOID:783"
"485","HGNC:11917","DOID:635"
"486","HGNC:11892","DOID:9970"
"487","HGNC:12003","DOID:8991"
"488","HGNC:11892","DOID:11247"
"489","HGNC:43686","DOID:3069"
"490","HGNC:11998","DOID:0060074"
"491","HGNC:12682","DOID:2394"
"492","HGNC:12663","DOID:9352"
"493","HGNC:12663","DOID:9074"
"494","HGNC:12726","DOID:0060574"
"495","HGNC:25522","DOID:7031"
"496","HGNC:12663","DOID:8947"
"497","HGNC:12669","DOID:14330"
"498","HGNC:11892","DOID:399"
"499","HGNC:12663","DOID:4989"
"500","HGNC:11892","DOID:0060224"
"501","HGNC:11896","DOID:4947"
"502","HGNC:11998","DOID:0050908"
"503","HGNC:592","DOID:10283"
"504","HGNC:25522","DOID:5520"
"505","HGNC:12787","DOID:1612"
"506","HGNC:12003","DOID:10286"
"507","HGNC:11892","DOID:783"
"508","HGNC:11916","DOID:9120"
"509","HGNC:11917","DOID:3083"
"510","HGNC:11998","DOID:9655"
"511","HGNC:11892","DOID:13276"
"512","HGNC:5318","DOID:1324"
"513","HGNC:12435","DOID:12930"
"514","HGNC:12363","DOID:684"
"515","HGNC:12680","DOID:8544"
"516","HGNC:12682","DOID:5082"
"517","HGNC:11917","DOID:4450"
"518","HGNC:11917","DOID:2921"
"519","HGNC:12682","DOID:11054"
"520","HGNC:12381","DOID:684"
"521","HGNC:12636","DOID:10763"
"522","HGNC:12372","DOID:2945"
"523","HGNC:25522","DOID:3910"
"524","HGNC:12585","DOID:10652"
"525","HGNC:17760","DOID:2043"
"526","HGNC:12679","DOID:0060643"
"527","HGNC:17760","DOID:2957"
"528","HGNC:12680","DOID:0060224"
"529","HGNC:11916","DOID:3908"
"530","HGNC:12485","DOID:12930"
"531","HGNC:11898","DOID:3310"
"532","HGNC:11892","DOID:0050881"
"533","HGNC:12663","DOID:8481"
"534","HGNC:11892","DOID:10003"
"535","HGNC:12003","DOID:3007"
"536","HGNC:12363","DOID:3314"
"537","HGNC:11892","DOID:8283"
"538","HGNC:11916","DOID:4450"
"539","HGNC:11916","DOID:635"
"540","HGNC:11892","DOID:37"
"541","HGNC:11892","DOID:12549"
"542","HGNC:11909","DOID:10595"
"543","HGNC:12636","DOID:10591"
"544","HGNC:12003","DOID:10534"
"545","HGNC:5318","DOID:13406"
"546","HGNC:12562","DOID:1793"
"547","HGNC:11916","DOID:3083"
"548","HGNC:11909","DOID:3526"
"549","HGNC:11939","DOID:2377"
"550","HGNC:12635","DOID:2394"
"551","HGNC:12405","DOID:684"
"552","HGNC:11916","DOID:0050848"
"553","HGNC:11892","DOID:10241"
"554","HGNC:5318","DOID:2841"
"555","HGNC:11892","DOID:4450"
"556","HGNC:1628","DOID:11335"
"557","HGNC:9336","DOID:6039"
"558","HGNC:9052","DOID:1936"
"559","HGNC:775","DOID:1184"
"560","HGNC:11153","DOID:3910"
"561","HGNC:5992","DOID:0080600"
"562","HGNC:12637","DOID:3748"
"563","HGNC:12637","DOID:3748"
"564","HGNC:17575","DOID:9261"
"565","HGNC:10848","DOID:0060041"
"566","HGNC:10848","DOID:0060041"
"567","HGNC:7808","DOID:10003"
"568","HGNC:2979","DOID:1324"
"569","HGNC:5232","DOID:1936"
"570","HGNC:5232","DOID:1936"
"571","HGNC:16393","DOID:5603"
"572","HGNC:1318","DOID:0080750"
"573","HGNC:15633","DOID:1749"
"574","HGNC:31609","DOID:684"
"575","HGNC:31609","DOID:684"
"576","HGNC:31609","DOID:684"
"577","HGNC:31609","DOID:684"
"578","HGNC:882","DOID:9261"
"579","HGNC:5981","DOID:2841"
"580","HGNC:5981","DOID:2841"
"581","HGNC:4241","DOID:9352"
"582","HGNC:3238","DOID:1712"
"583","HGNC:31542","DOID:1485"
"584","HGNC:3942","DOID:13949"
"585","HGNC:6342","DOID:1909"
"586","HGNC:11140","DOID:11870"
"587","HGNC:2888","DOID:1470"
"588","HGNC:5992","DOID:2957"
"589","HGNC:5992","DOID:2957"
"590","HGNC:3535","DOID:12554"
"591","HGNC:10615","DOID:9498"
"592","HGNC:3219","DOID:3376"
"593","HGNC:3219","DOID:3376"
"594","HGNC:10785","DOID:2152"
"595","HGNC:10658","DOID:8567"
"596","HGNC:6470","DOID:4001"
"597","HGNC:11935","DOID:13922"
"598","HGNC:2592","DOID:0050891"
"599","HGNC:1709","DOID:3459"
"600","HGNC:2746","DOID:3151"
"601","HGNC:9206","DOID:8577"
"602","HGNC:10630","DOID:9074"
"603","HGNC:31603","DOID:9352"
"604","HGNC:1582","DOID:0060074"
"605","HGNC:24308","DOID:3748"
"606","HGNC:3821","DOID:2870"
"607","HGNC:1785","DOID:2671"
"608","HGNC:4238","DOID:12449"
"609","HGNC:5992","DOID:1883"
"610","HGNC:1033","DOID:10652"
"611","HGNC:5244","DOID:14330"
"612","HGNC:2514","DOID:182"
"613","HGNC:7873","DOID:0050848"
"614","HGNC:7873","DOID:0050848"
"615","HGNC:8614","DOID:4947"
"616","HGNC:2509","DOID:10283"
"617","HGNC:2509","DOID:10283"
"618","HGNC:10943","DOID:3910"
"619","HGNC:7516","DOID:2841"
"620","HGNC:288","DOID:6000"
"621","HGNC:7176","DOID:106"
"622","HGNC:914","DOID:3407"
"623","HGNC:5986","DOID:8924"
"624","HGNC:11219","DOID:182"
"625","HGNC:1606","DOID:106"
"626","HGNC:10901","DOID:0080365"
"627","HGNC:11920","DOID:10652"
"628","HGNC:9051","DOID:11123"
"629","HGNC:1043","DOID:1184"
"630","HGNC:10936","DOID:10652"
"631","HGNC:9206","DOID:10608"
"632","HGNC:5344","DOID:2394"
"633","HGNC:1603","DOID:0080745"
"634","HGNC:5986","DOID:2957"
"635","HGNC:3373","DOID:4467"
"636","HGNC:3373","DOID:4467"
"637","HGNC:7174","DOID:3908"
"638","HGNC:31548","DOID:684"
"639","HGNC:31548","DOID:684"
"640","HGNC:31548","DOID:684"
"641","HGNC:31548","DOID:684"
"642","HGNC:31548","DOID:684"
"643","HGNC:6018","DOID:12849"
"644","HGNC:1959","DOID:3910"
"645","HGNC:1959","DOID:3910"
"646","HGNC:7508","DOID:11394"
"647","HGNC:1503","DOID:10652"
"648","HGNC:6008","DOID:11266"
"649","HGNC:9336","DOID:8761"
"650","HGNC:7166","DOID:8923"
"651","HGNC:7166","DOID:8923"
"652","HGNC:7166","DOID:8923"
"653","HGNC:1784","DOID:11555"
"654","HGNC:328","DOID:3587"
"655","HGNC:9588","DOID:219"
"656","HGNC:436","DOID:2349"
"657","HGNC:3012","DOID:3121"
"658","HGNC:1509","DOID:417"
